,Month,officialnamestate,ProportionalTemp
0,1,New South Wales,14.409148076756068
1,1,Queensland,16.08182255466313
2,1,South Australia,14.570906030872111
3,1,Tasmania,9.986512068974635
4,1,Territories,16.975279300174307
5,1,Victoria,12.434922416399028
6,1,Western Australia,15.541409552160722
7,2,New South Wales,14.372534869056686
8,2,Queensland,16.13799916027704
9,2,South Australia,14.716389572261296
10,2,Tasmania,9.650783528510173
11,2,Territories,17.100494249010552
12,2,Victoria,11.93683355602842
13,2,Western Australia,16.084965064855826
14,3,New South Wales,14.484591513447661
15,3,Queensland,17.044641810880208
16,3,South Australia,13.794792444048545
17,3,Tasmania,9.025572098657006
18,3,Territories,18.393156453127716
19,3,Victoria,11.377323288080406
20,3,Western Australia,15.879922391758456
21,4,New South Wales,12.810089435957023
22,4,Queensland,18.12960020149515
23,4,South Australia,13.556834633774804
24,4,Tasmania,9.79038902072443
25,4,Territories,20.031577009953015
26,4,Victoria,10.915614943517761
27,4,Western Australia,14.765894754577824
28,5,New South Wales,11.36011763983723
29,5,Queensland,18.025095724926157
30,5,South Australia,13.437228530041716
31,5,Tasmania,9.499350573476248
32,5,Territories,20.68786766421108
33,5,Victoria,10.200701951395617
34,5,Western Australia,16.789637916111957
35,6,New South Wales,11.181665102907926
36,6,Queensland,19.792455675927954
37,6,South Australia,13.237597783961998
38,6,Tasmania,9.427846186431772
39,6,Territories,22.80904199025255
40,6,Victoria,10.114437472115819
41,6,Western Australia,13.436955788401987
42,7,New South Wales,11.386528863446841
43,7,Queensland,19.142668280882372
44,7,South Australia,12.674288189637878
45,7,Tasmania,10.328456341739631
46,7,Territories,21.928006000331887
47,7,Victoria,9.842015239348353
48,7,Western Australia,14.698037084613045
49,8,New South Wales,11.827755139431648
50,8,Queensland,18.950191648636697
51,8,South Australia,13.00651746634361
52,8,Tasmania,8.763855376019448
53,8,Territories,22.43562201497424
54,8,Victoria,9.47044095600206
55,8,Western Australia,15.545617398592295
56,9,New South Wales,13.081788713562798
57,9,Queensland,17.865384139005016
58,9,South Australia,13.846392342052404
59,9,Tasmania,8.494368304748921
60,9,Territories,20.961412939259066
61,9,Victoria,10.346383354483406
62,9,Western Australia,15.404270206888388
63,10,New South Wales,13.396753702502034
64,10,Queensland,18.539722794455383
65,10,South Australia,12.926493270347047
66,10,Tasmania,7.855263923278157
67,10,Territories,21.111987832475165
68,10,Victoria,9.795105328928942
69,10,Western Australia,16.374673148013265
70,11,New South Wales,13.863925104137836
71,11,Queensland,17.232135345496268
72,11,South Australia,13.516703104162758
73,11,Tasmania,8.762215669173566
74,11,Territories,19.584995598313824
75,11,Victoria,11.078351824349312
76,11,Western Australia,15.961673354366432
77,12,New South Wales,14.669534667946435
78,12,Queensland,16.968240833687574
79,12,South Australia,13.267648400334325
80,12,Tasmania,9.05375597809561
81,12,Territories,19.10602278259803
82,12,Victoria,11.377794239708038
83,12,Western Australia,15.55700309762999
