,officialnamestate,Month,Year,MonthName,TemperatureMean,RainSum,RelativeHumidityMean
0,New South Wales,1,2010,January,24.8869245287703,1.2542324710231272,52.904959051755114
1,New South Wales,1,2011,January,24.24583791890577,2.5665893338298034,61.05839747743432
2,New South Wales,1,2012,January,22.618432903472794,3.304438295022079,60.25205372067959
3,New South Wales,1,2013,January,25.87922302862061,2.627774871038844,49.55624511712447
4,New South Wales,1,2014,January,25.17261001128658,0.6796572142594117,46.994909920559834
5,New South Wales,1,2015,January,23.194903927932042,2.6224683846074393,60.670540980278425
6,New South Wales,1,2016,January,23.54331018967892,3.511301554402365,58.24008665586408
7,New South Wales,1,2017,January,25.972974770151936,1.2030162437459773,52.96631650576304
8,New South Wales,1,2018,January,25.635073092620313,0.9864680811638351,48.665213426001046
9,New South Wales,1,2019,January,28.099282675435973,0.7643290191295562,48.68064102432453
10,New South Wales,1,2020,January,26.29138747260684,1.6816630527887133,51.048360209939375
11,New South Wales,1,2021,January,23.03021144718958,2.6422423535094675,57.49449536542924
12,New South Wales,1,2022,January,23.856595912334406,3.5021854710291147,66.27080008996333
13,New South Wales,1,2023,January,23.354618142017813,2.223591052874785,58.82398555654517
14,New South Wales,2,2010,February,23.166196198500167,3.759247602543089,66.4573444110043
15,New South Wales,2,2011,February,23.499774495210477,2.500936365782234,64.2321046468346
16,New South Wales,2,2012,February,21.52187762464997,4.500440044290744,68.22048223345867
17,New South Wales,2,2013,February,23.024085517558834,3.599121649477958,58.88700722389791
18,New South Wales,2,2014,February,24.119670765147497,2.28507623930063,54.61042841000994
19,New South Wales,2,2015,February,24.033719287454424,1.3955667942625125,57.13973630568445
20,New South Wales,2,2016,February,24.431432060292824,0.4951756167469397,52.18701131978558
21,New South Wales,2,2017,February,24.935828014335435,1.010250251040769,50.1542469434869
22,New South Wales,2,2018,February,23.88437391838747,1.3945558541208154,51.08578372311071
23,New South Wales,2,2019,February,23.89528554437355,0.736112035983593,50.43513990271793
24,New South Wales,2,2020,February,22.584332593583486,5.054788385947676,64.56226174301943
25,New South Wales,2,2021,February,21.987728518379182,3.020865104832615,62.664981997596946
26,New South Wales,2,2022,February,22.075168274071924,3.4651309332921776,62.04279737529003
27,New South Wales,2,2023,February,23.11714829059496,1.0039111729168049,53.529858799511096
28,New South Wales,3,2010,March,20.594097466544422,2.3192276085360377,65.13157831202754
29,New South Wales,3,2011,March,20.086625314759374,2.1049098202806675,68.55006342908464
30,New South Wales,3,2012,March,18.91582784628396,3.0548162594813264,70.49208954823742
31,New South Wales,3,2013,March,20.748035850003742,1.5142953397777112,62.337771034727936
32,New South Wales,3,2014,March,20.951297984918792,2.7233740067824264,66.91444410298631
33,New South Wales,3,2015,March,21.350857654075295,0.9088092247406632,53.674169861088245
34,New South Wales,3,2016,March,22.844366900291895,0.984013176132026,56.02952406286955
35,New South Wales,3,2017,March,21.904183263475787,3.9497717292058976,65.33111585150812
36,New South Wales,3,2018,March,21.921519010859964,1.2065563995456927,55.4345309884365
37,New South Wales,3,2019,March,21.926302976082628,2.1971334513808847,57.24129132145797
38,New South Wales,3,2020,March,19.76177265142579,2.8694259462465386,65.97736950190854
39,New South Wales,3,2021,March,19.387683591115934,5.6564104541449,67.90334291377891
40,New South Wales,3,2022,March,20.618264026487537,4.382927929857796,69.18555349674426
41,New South Wales,3,2023,March,21.85947259378789,2.52406257400494,59.932839673377735
42,New South Wales,4,2010,April,17.42870018050271,0.9626759502420728,67.81193320982212
43,New South Wales,4,2011,April,15.97963856681361,1.0135112188267594,69.11913147138438
44,New South Wales,4,2012,April,16.713028773568446,1.2518561530301624,67.84226575467905
45,New South Wales,4,2013,April,17.016088687703014,0.6792420752869296,61.17319306612529
46,New South Wales,4,2014,April,17.377441172382056,1.605599384726218,70.32727935552978
47,New South Wales,4,2015,April,16.126632481982984,3.0956689932753285,68.91919585375096
48,New South Wales,4,2016,April,19.25455768528229,0.8299690663828306,58.984709507192576
49,New South Wales,4,2017,April,16.280905221056457,1.096481055491106,65.42351862730085
50,New South Wales,4,2018,April,19.686595481686002,0.5289017813101314,56.38643628607889
51,New South Wales,4,2019,April,18.301950090270687,0.6424439312505801,61.49701983054911
52,New South Wales,4,2020,April,16.04513503732173,2.838120655873937,70.44429771276101
53,New South Wales,4,2021,April,15.560816591962103,0.6753364287130704,64.35030716256767
54,New South Wales,4,2022,April,17.171619486488787,2.9142614108723897,72.6305927129157
55,New South Wales,4,2023,April,16.10581852925754,1.6622737865761794,68.03060047486466
56,New South Wales,5,2010,May,12.966738768362399,1.5858169353775915,71.68875121862136
57,New South Wales,5,2011,May,11.562791951785794,1.1105007144737669,71.47395878489634
58,New South Wales,5,2012,May,11.862055663374823,0.9198413301728912,69.3159060303121
59,New South Wales,5,2013,May,13.146378196480802,1.040655643332086,68.55119280233515
60,New South Wales,5,2014,May,14.093834104605193,1.105950157078063,70.72447189626526
61,New South Wales,5,2015,May,12.957992997317566,1.218284563712297,72.90712238208218
62,New South Wales,5,2016,May,14.008456557648381,1.5311503656200882,70.10936517536112
63,New South Wales,5,2017,May,12.797635877708256,1.075570694092508,72.72999822341141
64,New South Wales,5,2018,May,13.214862947459096,0.5556170962457899,64.85455683788638
65,New South Wales,5,2019,May,13.2556773222401,1.0430731260301624,69.57710662787217
66,New South Wales,5,2020,May,11.757260431476686,0.8432976610509693,73.74883786595315
67,New South Wales,5,2021,May,12.476575191381633,1.3057929823803607,72.54948014242946
68,New South Wales,5,2022,May,13.051827662117358,2.9043110611229697,79.89840708023353
